From	Entry	Entry Name	Organism	Gene Names
Q7Z7E8	Q7Z7E8	UB2Q1_HUMAN	Homo sapiens (Human)	UBE2Q1 NICE5 UBE2Q PRO3094
Q7Z7F7	Q7Z7F7	RM55_HUMAN	Homo sapiens (Human)	MRPL55 UNQ5835/PRO19675
Q7Z7H8	Q7Z7H8	RM10_HUMAN	Homo sapiens (Human)	MRPL10 MRPL8 RPML8
Q86SQ9	Q86SQ9	DHDDS_HUMAN	Homo sapiens (Human)	DHDDS HDS
Q86SX6	Q86SX6	GLRX5_HUMAN	Homo sapiens (Human)	GLRX5 C14orf87
Q86T24	Q86T24	KAISO_HUMAN	Homo sapiens (Human)	ZBTB33 KAISO ZNF348
Q86TB9	Q86TB9	PATL1_HUMAN	Homo sapiens (Human)	PATL1 OK/KNS-cl.5
Q86TI0	Q86TI0	TBCD1_HUMAN	Homo sapiens (Human)	TBC1D1 KIAA1108
Q86TS9	Q86TS9	RM52_HUMAN	Homo sapiens (Human)	MRPL52
Q86TU7	Q86TU7	SETD3_HUMAN	Homo sapiens (Human)	SETD3 C14orf154
Q86U06	Q86U06	RBM23_HUMAN	Homo sapiens (Human)	RBM23 RNPC4 PP239
Q86U44	Q86U44	MTA70_HUMAN	Homo sapiens (Human)	METTL3 MTA70
Q86UD5	Q86UD5	SL9B2_HUMAN	Homo sapiens (Human)	SLC9B2 NHA2 NHEDC2
Q86UE4	Q86UE4	LYRIC_HUMAN	Homo sapiens (Human)	MTDH AEG1 LYRIC
Q86UL8	Q86UL8	MAGI2_HUMAN	Homo sapiens (Human)	MAGI2 ACVRINP1 AIP1 KIAA0705
Q86UR5	Q86UR5	RIMS1_HUMAN	Homo sapiens (Human)	RIMS1 KIAA0340 RAB3IP2 RIM1 Nbla00761
Q86US8	Q86US8	EST1A_HUMAN	Homo sapiens (Human)	SMG6 C17orf31 EST1A KIAA0732
Q86UT6	Q86UT6	NLRX1_HUMAN	Homo sapiens (Human)	NLRX1 NOD5 NOD9
Q86UU0	Q86UU0	BCL9L_HUMAN	Homo sapiens (Human)	BCL9L DLNB11
Q86UW6	Q86UW6	N4BP2_HUMAN	Homo sapiens (Human)	N4BP2 B3BP KIAA1413
Q86UW9	Q86UW9	DTX2_HUMAN	Homo sapiens (Human)	DTX2 KIAA1528 RNF58
Q86UX7	Q86UX7	URP2_HUMAN	Homo sapiens (Human)	FERMT3 KIND3 MIG2B URP2
Q86UY5	Q86UY5	FA83A_HUMAN	Homo sapiens (Human)	FAM83A TSGP
Q86V20	Q86V20	SHLD2_HUMAN	Homo sapiens (Human)	SHLD2 FAM35A RINN2
Q86V24	Q86V24	PAQR2_HUMAN	Homo sapiens (Human)	ADIPOR2 PAQR2
Q86V25	Q86V25	VASH2_HUMAN	Homo sapiens (Human)	VASH2 VASHL
Q86V81	Q86V81	THOC4_HUMAN	Homo sapiens (Human)	ALYREF ALY BEF THOC4
Q86VP1	Q86VP1	TAXB1_HUMAN	Homo sapiens (Human)	TAX1BP1 T6BP PRO0105
Q86VQ6	Q86VQ6	TRXR3_HUMAN	Homo sapiens (Human)	TXNRD3 TGR TRXR3
Q86VU5	Q86VU5	CMTD1_HUMAN	Homo sapiens (Human)	COMTD1 UNQ766/PRO1558
Q86W24	Q86W24	NAL14_HUMAN	Homo sapiens (Human)	NLRP14 NALP14 NOD5
Q86W26	Q86W26	NAL10_HUMAN	Homo sapiens (Human)	NLRP10 NALP10 NOD8 PYNOD
Q86W56	Q86W56	PARG_HUMAN	Homo sapiens (Human)	PARG
Q86WA6	Q86WA6	BPHL_HUMAN	Homo sapiens (Human)	BPHL MCNAA
Q86WC4	Q86WC4	OSTM1_HUMAN	Homo sapiens (Human)	OSTM1 GL HSPC019 UNQ6098/PRO21201
Q86WJ1	Q86WJ1	CHD1L_HUMAN	Homo sapiens (Human)	CHD1L ALC1
Q86WT6	Q86WT6	TRI69_HUMAN	Homo sapiens (Human)	TRIM69 RNF36 HSD-34 HSD34
Q86WV1	Q86WV1	SKAP1_HUMAN	Homo sapiens (Human)	SKAP1 SCAP1 SKAP55
Q86WV6	Q86WV6	STING_HUMAN	Homo sapiens (Human)	STING1 ERIS MITA STING TMEM173
Q86X95	Q86X95	CIR1_HUMAN	Homo sapiens (Human)	CIR1 CIR
Q86XE3	Q86XE3	MICU3_HUMAN	Homo sapiens (Human)	MICU3 EFHA2
Q86XE5	Q86XE5	HOGA1_HUMAN	Homo sapiens (Human)	HOGA1 C10orf65 DHDPSL
Q86XI6	Q86XI6	PPR3B_HUMAN	Homo sapiens (Human)	PPP1R3B PPP1R4
Q86XP0	Q86XP0	PA24D_HUMAN	Homo sapiens (Human)	PLA2G4D
Q86XR7	Q86XR7	TCAM2_HUMAN	Homo sapiens (Human)	TICAM2 TIRAP3 TIRP TRAM
Q86XR8	Q86XR8	CEP57_HUMAN	Homo sapiens (Human)	CEP57 KIAA0092 TSP57
Q86Y01	Q86Y01	DTX1_HUMAN	Homo sapiens (Human)	DTX1
Q86Y07	Q86Y07	VRK2_HUMAN	Homo sapiens (Human)	VRK2
Q86Y34	Q86Y34	AGRG3_HUMAN	Homo sapiens (Human)	ADGRG3 GPR97 PGR26
Q86Y38	Q86Y38	XYLT1_HUMAN	Homo sapiens (Human)	XYLT1 XT1
Q86Y39	Q86Y39	NDUAB_HUMAN	Homo sapiens (Human)	NDUFA11
Q86Y97	Q86Y97	KMT5C_HUMAN	Homo sapiens (Human)	KMT5C SUV420H2 PP7130
Q86YC2	Q86YC2	PALB2_HUMAN	Homo sapiens (Human)	PALB2 FANCN
